mode,sample,label,level_numeric,n_reads_sub,n_reads_orig,n_sites_compared,r_shannon_profile,r_pi_profile,r_minor_af_spectrum,mean_shannon_sub,mean_shannon_orig,delta_mean_shannon,mean_pi_sub,mean_pi_orig,delta_mean_pi,mean_abs_diff_minor_af,n_variable_sites_orig_1pct,n_variable_sites_sub_1pct,variable_site_recall_1pct,variable_site_precision_1pct,n_variable_sites_orig_2pct,n_variable_sites_sub_2pct,variable_site_recall_2pct,variable_site_precision_2pct,n_variable_sites_orig_5pct,n_variable_sites_sub_5pct,variable_site_recall_5pct,variable_site_precision_5pct,n_variable_sites_orig_20pct,n_variable_sites_sub_20pct,variable_site_recall_20pct,variable_site_precision_20pct
percent,barcode30,40pct,40.0,14781,37012,1286,0.996143649694012,0.9978041714238138,0.9988130514691796,0.09469858476530155,0.09413079190953842,0.0005677928557631245,0.025999323619750887,0.025703219638622866,0.0002961039811280215,0.0007523361502593895,282,288,0.975177304964539,0.9548611111111112,155,157,0.9870967741935484,0.9745222929936306,43,41,0.9069767441860465,0.9512195121951219,10,10,1.0,1.0
percent,barcode30,5pct,5.0,1830,37012,1286,0.9599882657269333,0.9695440912197076,0.9848898308520931,0.0968315149372208,0.09413079190953842,0.0027007230276823724,0.027910690181522334,0.025703219638622866,0.002207470542899468,0.0028029697114702154,282,305,0.9184397163120568,0.8491803278688524,155,192,0.9612903225806452,0.7760416666666666,43,64,0.9534883720930233,0.640625,10,11,1.0,0.9090909090909091
percent,barcode32,0p5pct,0.5,76,18300,1237,0.8254683664068677,0.8117729244426621,0.8430412543436271,0.0888293080068047,0.11845753866559858,-0.029628230658793872,0.03201157757287645,0.034730883271342536,-0.0027193056984660888,0.010807952083172772,359,449,0.7214484679665738,0.576837416481069,214,201,0.7336448598130841,0.7810945273631841,107,113,0.7757009345794392,0.7345132743362832,12,28,0.9166666666666666,0.39285714285714285
percent,barcode32,10pct,10.0,1858,18300,1237,0.9820689207507673,0.9885146993152679,0.9929279039548228,0.11211012177497606,0.11845753866559858,-0.006347416890622515,0.03331471144148239,0.034730883271342536,-0.0014161718298601467,0.0024451576002185674,359,368,0.9136490250696379,0.8913043478260869,214,219,0.9345794392523364,0.91324200913242,107,99,0.8878504672897196,0.9595959595959596,12,12,1.0,1.0
percent,barcode32,1pct,1.0,173,18300,1237,0.8749438529896623,0.8978071582582827,0.9273296169124665,0.09499153095962351,0.11845753866559858,-0.023466007705975067,0.03086027860098362,0.034730883271342536,-0.0038706046703589174,0.00745325769635336,359,354,0.724233983286908,0.7344632768361582,214,215,0.8037383177570093,0.8,107,103,0.7663551401869159,0.7961165048543689,12,12,0.9166666666666666,0.9166666666666666
percent,barcode32,20pct,20.0,3658,18300,1237,0.9913508691875225,0.9946254578605735,0.9965866890648146,0.11451394640551926,0.11845753866559858,-0.003943592260079315,0.033743410822422805,0.034730883271342536,-0.000987472448919731,0.0016626395216248265,359,350,0.9331476323119777,0.9571428571428572,214,215,0.9532710280373832,0.9488372093023256,107,100,0.9065420560747663,0.97,12,12,1.0,1.0
percent,barcode32,2pct,2.0,360,18300,1237,0.9313716814157864,0.9506916152193636,0.9699937160773818,0.1017156017264389,0.11845753866559858,-0.01674193693915968,0.031830882770369266,0.034730883271342536,-0.0029000005009732696,0.005285463860286175,359,335,0.766016713091922,0.8208955223880597,214,214,0.8738317757009346,0.8738317757009346,107,114,0.8317757009345794,0.7807017543859649,12,13,1.0,0.9230769230769231
percent,barcode32,40pct,40.0,7296,18300,1237,0.9964987249903954,0.9980109064777184,0.9987920953163796,0.11702210696402955,0.11845753866559858,-0.001435431701569026,0.034411842513755904,0.034730883271342536,-0.0003190407575866319,0.0009333628878567629,359,353,0.9526462395543176,0.9688385269121813,214,220,0.985981308411215,0.9590909090909091,107,103,0.9439252336448598,0.9805825242718447,12,12,1.0,1.0
percent,barcode32,5pct,5.0,904,18300,1237,0.9614296995456817,0.9784375549735315,0.987609895709701,0.10688288894006591,0.11845753866559858,-0.011574649725532668,0.03224466676170182,0.034730883271342536,-0.002486216509640718,0.003363037029044117,359,343,0.8495821727019499,0.8892128279883382,214,228,0.9158878504672897,0.8596491228070176,107,98,0.8878504672897196,0.9693877551020408,12,13,1.0,0.9230769230769231
percent,barcode33,0p5pct,0.5,204,43001,1207,0.8383717021419994,0.7332554765601126,0.7870440247297235,0.08759662965461118,0.08976093765087745,-0.002164307996266268,0.03180304378471957,0.02424165817812863,0.007561385606590941,0.00889041349706584,256,350,0.828125,0.6057142857142858,135,168,0.8296296296296296,0.6666666666666666,37,60,0.9459459459459459,0.5833333333333334,10,27,0.9,0.3333333333333333
percent,barcode33,10pct,10.0,4367,43001,1296,0.97514330317427,0.9830940615710605,0.9902483688452306,0.09337094903921374,0.09221699698338724,0.001153952055826496,0.026598313460522084,0.025260914999767528,0.001337398460754556,0.0021483893341622375,283,318,0.9575971731448764,0.8522012578616353,153,177,0.9673202614379085,0.8361581920903954,48,56,0.9166666666666666,0.7857142857142857,10,11,1.0,0.9090909090909091
percent,barcode33,1pct,1.0,425,43001,1295,0.8417117722726146,0.7396212833636956,0.7642812413070086,0.09790155559051689,0.09205697217861496,0.00584458341190193,0.037230520022580045,0.02521077736585271,0.012019742656727336,0.010237631860528857,282,310,0.7943262411347518,0.7225806451612903,152,175,0.8618421052631579,0.7485714285714286,48,83,0.9791666666666666,0.5662650602409639,10,47,1.0,0.2127659574468085
percent,barcode33,20pct,20.0,8691,43001,1296,0.9861833669553294,0.9910677156329011,0.9952944251320918,0.09213941155377589,0.09221699698338724,-7.758542961135151e-05,0.025681189961689697,0.025260914999767528,0.00042027496192216865,0.0013608563356430306,283,295,0.9434628975265018,0.9050847457627119,153,161,0.9607843137254902,0.9130434782608695,48,48,0.8958333333333334,0.8958333333333334,10,10,1.0,1.0
percent,barcode33,2pct,2.0,832,43001,1296,0.8990177988275183,0.9109946807369351,0.9479933253961544,0.08790751366828789,0.09221699698338724,-0.004309483315099352,0.026949132887952424,0.025260914999767528,0.001688217888184896,0.0045231117783437235,283,277,0.7879858657243817,0.8050541516245487,153,163,0.8758169934640523,0.8220858895705522,48,78,0.9791666666666666,0.6025641025641025,10,16,1.0,0.625
percent,barcode33,40pct,40.0,17301,43001,1296,0.994490411512557,0.9967930618282709,0.9984381277290084,0.0908458371150187,0.09221699698338724,-0.0013711598683685405,0.02499192397770297,0.025260914999767528,-0.0002689910220645582,0.0007638681707457495,283,284,0.9575971731448764,0.954225352112676,153,151,0.9607843137254902,0.9735099337748344,48,48,0.9583333333333334,0.9583333333333334,10,10,1.0,1.0
percent,barcode33,5pct,5.0,2193,43001,1296,0.9480870570783223,0.9671738953651691,0.9832424156115119,0.08819068014503903,0.09221699698338724,-0.004026316838348212,0.0254545944160916,0.025260914999767528,0.00019367941632407112,0.0025644901664146104,283,285,0.8833922261484098,0.8771929824561403,153,175,0.954248366013072,0.8342857142857143,48,56,0.9375,0.8035714285714286,10,11,1.0,0.9090909090909091
percent,barcode34,0p5pct,0.5,76,16099,1207,0.8557123118125649,0.8847278252757393,0.9185554536563154,0.10424651472535713,0.11952227905408438,-0.015275764328727251,0.037204668917895874,0.03523479729474242,0.0019698716231534505,0.01089885751918874,347,472,0.7694524495677233,0.565677966101695,215,226,0.772093023255814,0.7345132743362832,96,133,0.8020833333333334,0.5789473684210527,15,22,1.0,0.6818181818181818
percent,barcode34,10pct,10.0,1644,16099,1210,0.9889836409376459,0.9950115777755593,0.9972346515685568,0.11548800929808707,0.11922594282502466,-0.0037379335269375896,0.03477282643265537,0.03514743829318521,-0.00037461186052983875,0.0019741235099170976,347,348,0.9106628242074928,0.9080459770114943,215,221,0.9720930232558139,0.9457013574660633,96,99,0.9375,0.9090909090909091,15,15,1.0,1.0
