mode,sample,label,level_numeric,n_reads,ref_len,n_sites_used,mean_depth,mean_shannon,mean_norm_shannon,mean_pi,n_variable_sites_1pct,n_variable_sites_2pct,n_variable_sites_5pct,n_variable_sites_20pct
percent,barcode59,0p5pct,0.5,89,1128,1083,80.00554016620498,0.07760750107347315,0.012299660725386642,0.026468940629328506,402,161,46,23
percent,barcode59,10pct,10.0,1792,1128,1128,1554.7774822695035,0.10564543317332407,0.010264952109262664,0.03263654958176996,273,162,90,24
percent,barcode59,1pct,1.0,186,1128,1128,161.54521276595744,0.0764346148865622,0.01147645189743147,0.025571672228818336,270,123,38,26
percent,barcode59,20pct,20.0,3565,1128,1128,3096.0425531914893,0.10677097596610413,0.009454111161948687,0.03292782918892285,258,166,94,24
percent,barcode59,2pct,2.0,360,1128,1128,314.1498226950355,0.09867954662490636,0.012421443487527087,0.03187118131049183,263,163,91,25
percent,barcode59,40pct,40.0,7321,1128,1128,6354.959219858156,0.10599407302308787,0.008570982093926226,0.0324848545164826,249,163,90,24
percent,barcode59,5pct,5.0,944,1128,1128,818.3218085106383,0.10433966163190646,0.011134640947022724,0.03272313141462585,276,175,89,24
percent,barcode60,0p5pct,0.5,132,1129,1128,118.65957446808511,0.07572308392410164,0.011268739496804778,0.022020952602947404,260,153,48,2
percent,barcode60,10pct,10.0,2384,1129,1129,2110.754650132861,0.0824847085523812,0.0075798066494797735,0.021365159204361134,243,131,42,2
percent,barcode60,1pct,1.0,229,1129,1128,206.5700354609929,0.07402816325206497,0.009858579807702652,0.02043789406067228,242,128,35,2
percent,barcode60,20pct,20.0,4766,1129,1129,4229.293179805138,0.0829526640917281,0.006973695077659142,0.021301163932685815,226,131,42,2
percent,barcode60,2pct,2.0,437,1129,1128,392.5576241134752,0.08100435181669126,0.009562824881766848,0.021913176148786077,261,146,41,2
percent,barcode60,40pct,40.0,9530,1129,1129,8472.790079716564,0.08145704925557304,0.006308117223956686,0.0206749149277867,219,123,39,2
percent,barcode60,5pct,5.0,1143,1129,1129,1018.563330380868,0.0822315880933999,0.008330670085519892,0.021581234410595364,239,132,43,2
percent,barcode61,0p5pct,0.5,133,1278,1093,117.92406221408966,0.05783785843527554,0.008413812094850504,0.015694625333722893,181,76,8,2
percent,barcode61,10pct,10.0,2773,1278,1191,2300.665827036104,0.07393038074399533,0.008353010516728725,0.01974078802118424,208,110,24,5
percent,barcode61,1pct,1.0,267,1278,1121,234.78055307760928,0.06349756572328755,0.008298073948640185,0.016596548141171057,202,76,7,3
percent,barcode61,20pct,20.0,5467,1278,1209,4465.9478908188585,0.07854469642208063,0.009356194350066294,0.021814368617016366,225,121,32,8
percent,barcode61,2pct,2.0,559,1278,1162,473.63253012048193,0.06412043198743113,0.00779011543175034,0.01656164918271219,180,78,13,3
percent,barcode61,40pct,40.0,10883,1278,1210,8889.361157024794,0.08064282926989787,0.008151448717759755,0.021288585207919247,235,122,30,6
percent,barcode61,5pct,5.0,1384,1278,1181,1162.3268416596104,0.07414717058264955,0.008784961241264993,0.01983627123378955,220,112,25,5
percent,barcode62,0p5pct,0.5,164,1206,1206,132.82504145936983,0.08554577011483337,0.01342684843009105,0.028829562261868575,301,159,64,25
